,week,home_guid,home_score,away_guid,away_score,winner_guid,loser_guid,playoff
0,1,QOSB6TNJH6AZSUXHZXGSCF6KGY,0.4444444444444444,BNYD3F2FQK3NFXVMAJW4RPJKOA,0.5555555555555556,BNYD3F2FQK3NFXVMAJW4RPJKOA,QOSB6TNJH6AZSUXHZXGSCF6KGY,False
1,1,VWB4LBHYWJRAQ2E66SHEWFTCRI,0.4444444444444444,SZTYHNWXEJSWLLFCUGMIRQJSJM,0.5555555555555556,SZTYHNWXEJSWLLFCUGMIRQJSJM,VWB4LBHYWJRAQ2E66SHEWFTCRI,False
2,1,VFTMFPVMSCHKRTIILW7BM5UIGA,0.4444444444444444,NVAFN332AJMUVGCGC3CVBDWNQQ,0.5555555555555556,NVAFN332AJMUVGCGC3CVBDWNQQ,VFTMFPVMSCHKRTIILW7BM5UIGA,False
3,1,VOKZZSOK4ZQXCRZS4X3C6A2UKM,0.7777777777777778,LNRT67BZLFW4H3EUP2TDHOG74M,0.2222222222222222,VOKZZSOK4ZQXCRZS4X3C6A2UKM,LNRT67BZLFW4H3EUP2TDHOG74M,False
4,1,YWVPE4432SD4KI54TYIBYSUY4E,0.6666666666666666,Q4COTZKZODDIVSW3XXCJH7RNLE,0.3333333333333333,YWVPE4432SD4KI54TYIBYSUY4E,Q4COTZKZODDIVSW3XXCJH7RNLE,False
5,1,NIHSTHKSFAGS6M5GEP36QG4T64,0.4444444444444444,4BM76BZ5V4FBZHBCC7ELEY67GI,0.5555555555555556,4BM76BZ5V4FBZHBCC7ELEY67GI,NIHSTHKSFAGS6M5GEP36QG4T64,False
6,2,QOSB6TNJH6AZSUXHZXGSCF6KGY,0.2222222222222222,VFTMFPVMSCHKRTIILW7BM5UIGA,0.7777777777777778,VFTMFPVMSCHKRTIILW7BM5UIGA,QOSB6TNJH6AZSUXHZXGSCF6KGY,False
7,2,VWB4LBHYWJRAQ2E66SHEWFTCRI,0.5555555555555556,NVAFN332AJMUVGCGC3CVBDWNQQ,0.4444444444444444,VWB4LBHYWJRAQ2E66SHEWFTCRI,NVAFN332AJMUVGCGC3CVBDWNQQ,False
8,2,BNYD3F2FQK3NFXVMAJW4RPJKOA,0.4444444444444444,YWVPE4432SD4KI54TYIBYSUY4E,0.5555555555555556,YWVPE4432SD4KI54TYIBYSUY4E,BNYD3F2FQK3NFXVMAJW4RPJKOA,False
9,2,SZTYHNWXEJSWLLFCUGMIRQJSJM,0.7777777777777778,NIHSTHKSFAGS6M5GEP36QG4T64,0.2222222222222222,SZTYHNWXEJSWLLFCUGMIRQJSJM,NIHSTHKSFAGS6M5GEP36QG4T64,False
10,2,VOKZZSOK4ZQXCRZS4X3C6A2UKM,0.7777777777777778,Q4COTZKZODDIVSW3XXCJH7RNLE,0.2222222222222222,VOKZZSOK4ZQXCRZS4X3C6A2UKM,Q4COTZKZODDIVSW3XXCJH7RNLE,False
11,2,LNRT67BZLFW4H3EUP2TDHOG74M,0.5555555555555556,4BM76BZ5V4FBZHBCC7ELEY67GI,0.4444444444444444,LNRT67BZLFW4H3EUP2TDHOG74M,4BM76BZ5V4FBZHBCC7ELEY67GI,False
12,3,QOSB6TNJH6AZSUXHZXGSCF6KGY,0.2222222222222222,NVAFN332AJMUVGCGC3CVBDWNQQ,0.7777777777777778,NVAFN332AJMUVGCGC3CVBDWNQQ,QOSB6TNJH6AZSUXHZXGSCF6KGY,False
13,3,VWB4LBHYWJRAQ2E66SHEWFTCRI,0.6111111111111112,4BM76BZ5V4FBZHBCC7ELEY67GI,0.3888888888888889,VWB4LBHYWJRAQ2E66SHEWFTCRI,4BM76BZ5V4FBZHBCC7ELEY67GI,False
14,3,BNYD3F2FQK3NFXVMAJW4RPJKOA,0.6666666666666666,Q4COTZKZODDIVSW3XXCJH7RNLE,0.3333333333333333,BNYD3F2FQK3NFXVMAJW4RPJKOA,Q4COTZKZODDIVSW3XXCJH7RNLE,False
15,3,SZTYHNWXEJSWLLFCUGMIRQJSJM,0.4444444444444444,VFTMFPVMSCHKRTIILW7BM5UIGA,0.5555555555555556,VFTMFPVMSCHKRTIILW7BM5UIGA,SZTYHNWXEJSWLLFCUGMIRQJSJM,False
16,3,VOKZZSOK4ZQXCRZS4X3C6A2UKM,0.7777777777777778,NIHSTHKSFAGS6M5GEP36QG4T64,0.2222222222222222,VOKZZSOK4ZQXCRZS4X3C6A2UKM,NIHSTHKSFAGS6M5GEP36QG4T64,False
17,3,LNRT67BZLFW4H3EUP2TDHOG74M,0.7777777777777778,YWVPE4432SD4KI54TYIBYSUY4E,0.2222222222222222,LNRT67BZLFW4H3EUP2TDHOG74M,YWVPE4432SD4KI54TYIBYSUY4E,False
18,4,QOSB6TNJH6AZSUXHZXGSCF6KGY,0.5555555555555556,NIHSTHKSFAGS6M5GEP36QG4T64,0.4444444444444444,QOSB6TNJH6AZSUXHZXGSCF6KGY,NIHSTHKSFAGS6M5GEP36QG4T64,False
19,4,VWB4LBHYWJRAQ2E66SHEWFTCRI,0.8888888888888888,LNRT67BZLFW4H3EUP2TDHOG74M,0.1111111111111111,VWB4LBHYWJRAQ2E66SHEWFTCRI,LNRT67BZLFW4H3EUP2TDHOG74M,False
20,4,BNYD3F2FQK3NFXVMAJW4RPJKOA,0.3333333333333333,NVAFN332AJMUVGCGC3CVBDWNQQ,0.6666666666666666,NVAFN332AJMUVGCGC3CVBDWNQQ,BNYD3F2FQK3NFXVMAJW4RPJKOA,False
21,4,SZTYHNWXEJSWLLFCUGMIRQJSJM,0.4444444444444444,YWVPE4432SD4KI54TYIBYSUY4E,0.5555555555555556,YWVPE4432SD4KI54TYIBYSUY4E,SZTYHNWXEJSWLLFCUGMIRQJSJM,False
22,4,VFTMFPVMSCHKRTIILW7BM5UIGA,0.6666666666666666,Q4COTZKZODDIVSW3XXCJH7RNLE,0.3333333333333333,VFTMFPVMSCHKRTIILW7BM5UIGA,Q4COTZKZODDIVSW3XXCJH7RNLE,False
23,4,VOKZZSOK4ZQXCRZS4X3C6A2UKM,0.5,4BM76BZ5V4FBZHBCC7ELEY67GI,0.5,tie,tie,False
24,5,QOSB6TNJH6AZSUXHZXGSCF6KGY,0.7777777777777778,4BM76BZ5V4FBZHBCC7ELEY67GI,0.2222222222222222,QOSB6TNJH6AZSUXHZXGSCF6KGY,4BM76BZ5V4FBZHBCC7ELEY67GI,False
25,5,VWB4LBHYWJRAQ2E66SHEWFTCRI,0.6666666666666666,Q4COTZKZODDIVSW3XXCJH7RNLE,0.3333333333333333,VWB4LBHYWJRAQ2E66SHEWFTCRI,Q4COTZKZODDIVSW3XXCJH7RNLE,False
26,5,BNYD3F2FQK3NFXVMAJW4RPJKOA,0.1111111111111111,VFTMFPVMSCHKRTIILW7BM5UIGA,0.8888888888888888,VFTMFPVMSCHKRTIILW7BM5UIGA,BNYD3F2FQK3NFXVMAJW4RPJKOA,False
27,5,SZTYHNWXEJSWLLFCUGMIRQJSJM,0.4444444444444444,VOKZZSOK4ZQXCRZS4X3C6A2UKM,0.5555555555555556,VOKZZSOK4ZQXCRZS4X3C6A2UKM,SZTYHNWXEJSWLLFCUGMIRQJSJM,False
28,5,NVAFN332AJMUVGCGC3CVBDWNQQ,0.4444444444444444,YWVPE4432SD4KI54TYIBYSUY4E,0.5555555555555556,YWVPE4432SD4KI54TYIBYSUY4E,NVAFN332AJMUVGCGC3CVBDWNQQ,False
29,5,LNRT67BZLFW4H3EUP2TDHOG74M,0.6666666666666666,NIHSTHKSFAGS6M5GEP36QG4T64,0.3333333333333333,LNRT67BZLFW4H3EUP2TDHOG74M,NIHSTHKSFAGS6M5GEP36QG4T64,False
30,6,QOSB6TNJH6AZSUXHZXGSCF6KGY,0.5555555555555556,YWVPE4432SD4KI54TYIBYSUY4E,0.4444444444444444,QOSB6TNJH6AZSUXHZXGSCF6KGY,YWVPE4432SD4KI54TYIBYSUY4E,False
31,6,VWB4LBHYWJRAQ2E66SHEWFTCRI,0.7777777777777778,VFTMFPVMSCHKRTIILW7BM5UIGA,0.2222222222222222,VWB4LBHYWJRAQ2E66SHEWFTCRI,VFTMFPVMSCHKRTIILW7BM5UIGA,False
32,6,BNYD3F2FQK3NFXVMAJW4RPJKOA,0.6666666666666666,VOKZZSOK4ZQXCRZS4X3C6A2UKM,0.3333333333333333,BNYD3F2FQK3NFXVMAJW4RPJKOA,VOKZZSOK4ZQXCRZS4X3C6A2UKM,False
33,6,SZTYHNWXEJSWLLFCUGMIRQJSJM,0.5555555555555556,LNRT67BZLFW4H3EUP2TDHOG74M,0.4444444444444444,SZTYHNWXEJSWLLFCUGMIRQJSJM,LNRT67BZLFW4H3EUP2TDHOG74M,False
34,6,NVAFN332AJMUVGCGC3CVBDWNQQ,0.6666666666666666,NIHSTHKSFAGS6M5GEP36QG4T64,0.3333333333333333,NVAFN332AJMUVGCGC3CVBDWNQQ,NIHSTHKSFAGS6M5GEP36QG4T64,False
35,6,Q4COTZKZODDIVSW3XXCJH7RNLE,0.3333333333333333,4BM76BZ5V4FBZHBCC7ELEY67GI,0.6666666666666666,4BM76BZ5V4FBZHBCC7ELEY67GI,Q4COTZKZODDIVSW3XXCJH7RNLE,False
36,7,QOSB6TNJH6AZSUXHZXGSCF6KGY,1.0,Q4COTZKZODDIVSW3XXCJH7RNLE,0.0,QOSB6TNJH6AZSUXHZXGSCF6KGY,Q4COTZKZODDIVSW3XXCJH7RNLE,False
37,7,VWB4LBHYWJRAQ2E66SHEWFTCRI,0.7777777777777778,VOKZZSOK4ZQXCRZS4X3C6A2UKM,0.2222222222222222,VWB4LBHYWJRAQ2E66SHEWFTCRI,VOKZZSOK4ZQXCRZS4X3C6A2UKM,False
38,7,BNYD3F2FQK3NFXVMAJW4RPJKOA,0.5555555555555556,LNRT67BZLFW4H3EUP2TDHOG74M,0.4444444444444444,BNYD3F2FQK3NFXVMAJW4RPJKOA,LNRT67BZLFW4H3EUP2TDHOG74M,False
39,7,SZTYHNWXEJSWLLFCUGMIRQJSJM,0.6111111111111112,NVAFN332AJMUVGCGC3CVBDWNQQ,0.3888888888888889,SZTYHNWXEJSWLLFCUGMIRQJSJM,NVAFN332AJMUVGCGC3CVBDWNQQ,False
40,7,VFTMFPVMSCHKRTIILW7BM5UIGA,0.2222222222222222,4BM76BZ5V4FBZHBCC7ELEY67GI,0.7777777777777778,4BM76BZ5V4FBZHBCC7ELEY67GI,VFTMFPVMSCHKRTIILW7BM5UIGA,False
41,7,YWVPE4432SD4KI54TYIBYSUY4E,0.6666666666666666,NIHSTHKSFAGS6M5GEP36QG4T64,0.3333333333333333,YWVPE4432SD4KI54TYIBYSUY4E,NIHSTHKSFAGS6M5GEP36QG4T64,False
42,8,QOSB6TNJH6AZSUXHZXGSCF6KGY,0.5555555555555556,VOKZZSOK4ZQXCRZS4X3C6A2UKM,0.4444444444444444,QOSB6TNJH6AZSUXHZXGSCF6KGY,VOKZZSOK4ZQXCRZS4X3C6A2UKM,False
43,8,VWB4LBHYWJRAQ2E66SHEWFTCRI,0.5555555555555556,NIHSTHKSFAGS6M5GEP36QG4T64,0.4444444444444444,VWB4LBHYWJRAQ2E66SHEWFTCRI,NIHSTHKSFAGS6M5GEP36QG4T64,False
44,8,BNYD3F2FQK3NFXVMAJW4RPJKOA,0.4444444444444444,SZTYHNWXEJSWLLFCUGMIRQJSJM,0.5555555555555556,SZTYHNWXEJSWLLFCUGMIRQJSJM,BNYD3F2FQK3NFXVMAJW4RPJKOA,False
45,8,VFTMFPVMSCHKRTIILW7BM5UIGA,0.1111111111111111,LNRT67BZLFW4H3EUP2TDHOG74M,0.8888888888888888,LNRT67BZLFW4H3EUP2TDHOG74M,VFTMFPVMSCHKRTIILW7BM5UIGA,False
46,8,NVAFN332AJMUVGCGC3CVBDWNQQ,0.8888888888888888,Q4COTZKZODDIVSW3XXCJH7RNLE,0.1111111111111111,NVAFN332AJMUVGCGC3CVBDWNQQ,Q4COTZKZODDIVSW3XXCJH7RNLE,False
47,8,YWVPE4432SD4KI54TYIBYSUY4E,0.16666666666666666,4BM76BZ5V4FBZHBCC7ELEY67GI,0.8333333333333334,4BM76BZ5V4FBZHBCC7ELEY67GI,YWVPE4432SD4KI54TYIBYSUY4E,False
48,9,QOSB6TNJH6AZSUXHZXGSCF6KGY,0.5,LNRT67BZLFW4H3EUP2TDHOG74M,0.5,tie,tie,False
49,9,VWB4LBHYWJRAQ2E66SHEWFTCRI,0.5555555555555556,BNYD3F2FQK3NFXVMAJW4RPJKOA,0.4444444444444444,VWB4LBHYWJRAQ2E66SHEWFTCRI,BNYD3F2FQK3NFXVMAJW4RPJKOA,False
50,9,SZTYHNWXEJSWLLFCUGMIRQJSJM,0.4444444444444444,4BM76BZ5V4FBZHBCC7ELEY67GI,0.5555555555555556,4BM76BZ5V4FBZHBCC7ELEY67GI,SZTYHNWXEJSWLLFCUGMIRQJSJM,False
51,9,VFTMFPVMSCHKRTIILW7BM5UIGA,0.1111111111111111,YWVPE4432SD4KI54TYIBYSUY4E,0.8888888888888888,YWVPE4432SD4KI54TYIBYSUY4E,VFTMFPVMSCHKRTIILW7BM5UIGA,False
52,9,VOKZZSOK4ZQXCRZS4X3C6A2UKM,0.4444444444444444,NVAFN332AJMUVGCGC3CVBDWNQQ,0.5555555555555556,NVAFN332AJMUVGCGC3CVBDWNQQ,VOKZZSOK4ZQXCRZS4X3C6A2UKM,False
53,9,NIHSTHKSFAGS6M5GEP36QG4T64,0.2222222222222222,Q4COTZKZODDIVSW3XXCJH7RNLE,0.7777777777777778,Q4COTZKZODDIVSW3XXCJH7RNLE,NIHSTHKSFAGS6M5GEP36QG4T64,False
54,10,QOSB6TNJH6AZSUXHZXGSCF6KGY,0.7777777777777778,VWB4LBHYWJRAQ2E66SHEWFTCRI,0.2222222222222222,QOSB6TNJH6AZSUXHZXGSCF6KGY,VWB4LBHYWJRAQ2E66SHEWFTCRI,False
55,10,BNYD3F2FQK3NFXVMAJW4RPJKOA,0.2222222222222222,4BM76BZ5V4FBZHBCC7ELEY67GI,0.7777777777777778,4BM76BZ5V4FBZHBCC7ELEY67GI,BNYD3F2FQK3NFXVMAJW4RPJKOA,False
56,10,SZTYHNWXEJSWLLFCUGMIRQJSJM,0.3333333333333333,Q4COTZKZODDIVSW3XXCJH7RNLE,0.6666666666666666,Q4COTZKZODDIVSW3XXCJH7RNLE,SZTYHNWXEJSWLLFCUGMIRQJSJM,False
57,10,VFTMFPVMSCHKRTIILW7BM5UIGA,0.6111111111111112,NIHSTHKSFAGS6M5GEP36QG4T64,0.3888888888888889,VFTMFPVMSCHKRTIILW7BM5UIGA,NIHSTHKSFAGS6M5GEP36QG4T64,False
58,10,VOKZZSOK4ZQXCRZS4X3C6A2UKM,0.7777777777777778,YWVPE4432SD4KI54TYIBYSUY4E,0.2222222222222222,VOKZZSOK4ZQXCRZS4X3C6A2UKM,YWVPE4432SD4KI54TYIBYSUY4E,False
59,10,NVAFN332AJMUVGCGC3CVBDWNQQ,0.3888888888888889,LNRT67BZLFW4H3EUP2TDHOG74M,0.6111111111111112,LNRT67BZLFW4H3EUP2TDHOG74M,NVAFN332AJMUVGCGC3CVBDWNQQ,False
60,11,QOSB6TNJH6AZSUXHZXGSCF6KGY,0.3333333333333333,SZTYHNWXEJSWLLFCUGMIRQJSJM,0.6666666666666666,SZTYHNWXEJSWLLFCUGMIRQJSJM,QOSB6TNJH6AZSUXHZXGSCF6KGY,False
61,11,VWB4LBHYWJRAQ2E66SHEWFTCRI,0.6666666666666666,YWVPE4432SD4KI54TYIBYSUY4E,0.3333333333333333,VWB4LBHYWJRAQ2E66SHEWFTCRI,YWVPE4432SD4KI54TYIBYSUY4E,False
62,11,BNYD3F2FQK3NFXVMAJW4RPJKOA,0.7777777777777778,NIHSTHKSFAGS6M5GEP36QG4T64,0.2222222222222222,BNYD3F2FQK3NFXVMAJW4RPJKOA,NIHSTHKSFAGS6M5GEP36QG4T64,False
63,11,VFTMFPVMSCHKRTIILW7BM5UIGA,0.4444444444444444,VOKZZSOK4ZQXCRZS4X3C6A2UKM,0.5555555555555556,VOKZZSOK4ZQXCRZS4X3C6A2UKM,VFTMFPVMSCHKRTIILW7BM5UIGA,False
64,11,NVAFN332AJMUVGCGC3CVBDWNQQ,0.4444444444444444,4BM76BZ5V4FBZHBCC7ELEY67GI,0.5555555555555556,4BM76BZ5V4FBZHBCC7ELEY67GI,NVAFN332AJMUVGCGC3CVBDWNQQ,False
65,11,LNRT67BZLFW4H3EUP2TDHOG74M,0.5,Q4COTZKZODDIVSW3XXCJH7RNLE,0.5,tie,tie,False
66,12,QOSB6TNJH6AZSUXHZXGSCF6KGY,0.2222222222222222,BNYD3F2FQK3NFXVMAJW4RPJKOA,0.7777777777777778,BNYD3F2FQK3NFXVMAJW4RPJKOA,QOSB6TNJH6AZSUXHZXGSCF6KGY,False
67,12,VWB4LBHYWJRAQ2E66SHEWFTCRI,0.5555555555555556,SZTYHNWXEJSWLLFCUGMIRQJSJM,0.4444444444444444,VWB4LBHYWJRAQ2E66SHEWFTCRI,SZTYHNWXEJSWLLFCUGMIRQJSJM,False
68,12,VFTMFPVMSCHKRTIILW7BM5UIGA,0.16666666666666666,NVAFN332AJMUVGCGC3CVBDWNQQ,0.8333333333333334,NVAFN332AJMUVGCGC3CVBDWNQQ,VFTMFPVMSCHKRTIILW7BM5UIGA,False
69,12,VOKZZSOK4ZQXCRZS4X3C6A2UKM,0.4444444444444444,LNRT67BZLFW4H3EUP2TDHOG74M,0.5555555555555556,LNRT67BZLFW4H3EUP2TDHOG74M,VOKZZSOK4ZQXCRZS4X3C6A2UKM,False
70,12,YWVPE4432SD4KI54TYIBYSUY4E,0.3333333333333333,Q4COTZKZODDIVSW3XXCJH7RNLE,0.6666666666666666,Q4COTZKZODDIVSW3XXCJH7RNLE,YWVPE4432SD4KI54TYIBYSUY4E,False
71,12,NIHSTHKSFAGS6M5GEP36QG4T64,0.1111111111111111,4BM76BZ5V4FBZHBCC7ELEY67GI,0.8888888888888888,4BM76BZ5V4FBZHBCC7ELEY67GI,NIHSTHKSFAGS6M5GEP36QG4T64,False
72,13,QOSB6TNJH6AZSUXHZXGSCF6KGY,0.6666666666666666,VFTMFPVMSCHKRTIILW7BM5UIGA,0.3333333333333333,QOSB6TNJH6AZSUXHZXGSCF6KGY,VFTMFPVMSCHKRTIILW7BM5UIGA,False
73,13,VWB4LBHYWJRAQ2E66SHEWFTCRI,0.5555555555555556,NVAFN332AJMUVGCGC3CVBDWNQQ,0.4444444444444444,VWB4LBHYWJRAQ2E66SHEWFTCRI,NVAFN332AJMUVGCGC3CVBDWNQQ,False
74,13,BNYD3F2FQK3NFXVMAJW4RPJKOA,0.8888888888888888,YWVPE4432SD4KI54TYIBYSUY4E,0.1111111111111111,BNYD3F2FQK3NFXVMAJW4RPJKOA,YWVPE4432SD4KI54TYIBYSUY4E,False
75,13,SZTYHNWXEJSWLLFCUGMIRQJSJM,0.7777777777777778,NIHSTHKSFAGS6M5GEP36QG4T64,0.2222222222222222,SZTYHNWXEJSWLLFCUGMIRQJSJM,NIHSTHKSFAGS6M5GEP36QG4T64,False
76,13,VOKZZSOK4ZQXCRZS4X3C6A2UKM,0.6666666666666666,Q4COTZKZODDIVSW3XXCJH7RNLE,0.3333333333333333,VOKZZSOK4ZQXCRZS4X3C6A2UKM,Q4COTZKZODDIVSW3XXCJH7RNLE,False
77,13,LNRT67BZLFW4H3EUP2TDHOG74M,0.3333333333333333,4BM76BZ5V4FBZHBCC7ELEY67GI,0.6666666666666666,4BM76BZ5V4FBZHBCC7ELEY67GI,LNRT67BZLFW4H3EUP2TDHOG74M,False
78,14,QOSB6TNJH6AZSUXHZXGSCF6KGY,0.6666666666666666,NVAFN332AJMUVGCGC3CVBDWNQQ,0.3333333333333333,QOSB6TNJH6AZSUXHZXGSCF6KGY,NVAFN332AJMUVGCGC3CVBDWNQQ,False
79,14,VWB4LBHYWJRAQ2E66SHEWFTCRI,0.6666666666666666,4BM76BZ5V4FBZHBCC7ELEY67GI,0.3333333333333333,VWB4LBHYWJRAQ2E66SHEWFTCRI,4BM76BZ5V4FBZHBCC7ELEY67GI,False
80,14,BNYD3F2FQK3NFXVMAJW4RPJKOA,0.6666666666666666,Q4COTZKZODDIVSW3XXCJH7RNLE,0.3333333333333333,BNYD3F2FQK3NFXVMAJW4RPJKOA,Q4COTZKZODDIVSW3XXCJH7RNLE,False
81,14,SZTYHNWXEJSWLLFCUGMIRQJSJM,0.7777777777777778,VFTMFPVMSCHKRTIILW7BM5UIGA,0.2222222222222222,SZTYHNWXEJSWLLFCUGMIRQJSJM,VFTMFPVMSCHKRTIILW7BM5UIGA,False
82,14,VOKZZSOK4ZQXCRZS4X3C6A2UKM,0.8888888888888888,NIHSTHKSFAGS6M5GEP36QG4T64,0.1111111111111111,VOKZZSOK4ZQXCRZS4X3C6A2UKM,NIHSTHKSFAGS6M5GEP36QG4T64,False
